Type,domain_length,number_of_dots_in_domain,number_of_hyphens_in_domain,number_of_special_characters_in_domain,number_of_digits_in_domain,having_repeated_digits_in_domain,number_of_subdomains,average_subdomain_length,number_of_digits_in_subdomain,entropy_of_domain
1,16,2,1,0,0,0,1,12,0,3.5
1,23,1,2,0,0,0,1,5.666666667,0,3.410099327
1,14,6,1,1,2,0,2,3,0,3.039148672
1,13,2,0,0,23,0,2,5,0,3.085055103
1,12,2,0,0,0,0,1,8,0,3.418295834
1,10,1,0,2,1,0,1,6,1,2.921928095
1,22,2,1,0,0,0,2,3,0,3.606936732
1,17,5,1,2,1,0,2,3,0,3.572469459
1,18,6,1,1,2,0,2,3,0,3.572431251
1,16,4,1,0,0,0,2,3,0,3.327819531
1,16,3,1,0,2,0,2,3,0,3
1,39,7,1,3,11,1,5,6,3,4.141064001
1,11,1,0,0,0,0,1,7,0,3.459431619
1,4,1,0,0,5,0,1,22,0,2.789898095
1,9,2,1,2,77,0,1,6,0,3.169925001
1,30,2,0,0,0,0,2,17,0,3.939572262
1,21,7,0,0,3,0,3,3,0,3.558518613
1,11,2,0,1,29,0,1,7,0,3.277613437
1,21,2,4,0,0,0,1,17,0,3.522571589
1,22,3,1,0,0,0,1,18,0,3.788754914
1,32,3,0,0,6,0,2,17,3,4.452819531
1,13,6,1,1,1,0,2,3,0,3.026986833
1,20,1,1,0,0,0,1,7.5,0,3.38418372
1,13,3,0,2,3,0,1,9,0,3.39274741
1,20,4,0,2,0,0,3,4,0,3.40869497
1,39,2,0,0,0,0,1,35,0,3.906570488
1,32,4,0,0,0,0,4,3,0,3.890319531
1,31,7,0,0,0,0,3,3,0,3.643577263
1,24,3,0,0,4,1,2,13,3,4.136842188
1,10,1,0,0,1,0,1,6,1,3.321928095
1,25,4,0,2,18,0,2,19,1,3.559079571
1,13,2,0,0,1,0,1,9,0,3.39274741
1,13,2,0,0,0,0,1,10,0,3.238901257
1,17,6,0,0,0,0,1,13,0,3.572469459
1,42,4,1,0,0,0,4,3,0,3.52373633
1,14,1,0,0,0,0,1,10,0,3.235926351
1,24,3,1,1,3,0,1,9,0,3.403107168
1,96,11,7,0,2,0,11,5,0,4.225362599
1,12,2,2,2,38,0,1,8,0,3.084962501
1,14,1,1,0,21,0,1,10,0,2.985228136
1,28,1,0,0,0,0,1,24,0,3.365764637
1,47,5,5,0,2,0,4,6,0,4.320205608
1,13,2,1,1,0,0,1,9,0,3.180832987
1,13,2,0,0,0,0,1,9,0,3.39274741
1,13,2,10,2,39,0,1,3.5,1,3.546593564
1,17,1,0,1,60,0,1,13,0,3.146286371
1,15,1,1,0,0,0,1,11,0,3.373557262
1,14,3,1,4,7,0,2,4,0,3.378783493
1,14,7,1,1,2,0,2,3,0,2.896291529
1,23,2,0,0,2,0,1,19,0,3.708132065
1,26,2,0,0,0,0,2,13,0,3.950063756
1,14,2,0,0,0,0,2,8,0,3.378783493
1,36,4,1,0,0,0,4,6,0,3.97216346
1,23,1,0,1,0,0,1,20,0,3.642489673
1,21,2,0,0,0,0,2,3,0,3.403989446
1,18,1,1,0,3,0,1,15,3,3.530493057
1,10,3,0,5,9,0,1,6,0,2.921928095
1,10,2,1,0,4,0,1,17,0,3.689703732
1,28,8,1,9,6,0,4,2,0,3.383272673
1,15,2,2,2,3,0,2,8,2,3.373557262
1,12,2,0,0,24,0,2,3,0,3.022055209
1,13,2,0,0,2,0,1,9,0,3.39274741
1,25,3,1,0,0,0,2,12,0,3.509275071
1,44,3,4,0,15,1,2,12.5,12,4.143155551
1,36,6,0,0,3,1,6,5,0,3.877443751
1,15,3,0,1,2,0,2,8,0,3.139572262
1,21,4,3,0,0,0,2,3,0,3.725650756
1,11,2,0,1,26,0,1,7,0,3.095795255
1,10,1,0,0,2,0,1,6,0,3.121928095
1,28,2,0,0,0,0,2,15,0,3.940759833
1,20,3,0,0,0,0,2,3,0,3.68418372
1,10,1,0,0,0,0,1,6,0,2.921928095
1,29,2,2,0,1,0,2,4.666666667,1,4.116264616
1,16,3,0,0,0,0,2,9,0,3.5
1,13,2,0,0,2,0,1,9,0,3.39274741
1,13,3,0,0,2,0,2,3,0,3.026986833
1,11,3,2,0,0,0,2,3,0,2.845350937
1,17,7,2,1,2,0,2,3,0,3.572469459
1,14,2,0,0,0,0,1,10,0,3.664497779
1,20,2,2,0,0,0,1,16,0,3.446439345
1,24,2,0,0,2,0,2,11,2,3.834962501
1,12,3,0,0,0,0,2,2,0,2.918295834
1,14,3,0,0,0,0,2,7,0,3.093069208
1,14,2,0,0,0,0,1,10,0,3.378783493
1,21,2,0,0,0,0,1,17,0,3.820888851
1,113,10,3,0,45,1,10,3,0,4.588749607
1,30,7,0,2,27,0,5,3,0,4.00291008
1,23,2,0,1,2,0,1,19,0,3.675310869
1,22,2,1,0,0,0,2,3,0,3.697845823
1,25,5,0,0,0,0,1,22,0,3.62346519
1,12,2,0,1,0,0,1,8,0,2.584962501
1,11,2,0,1,27,0,1,7,0,3.095795255
1,18,1,0,0,0,0,1,14,0,3.836591668
1,15,2,0,0,0,0,1,11,0,3.323231429
1,18,2,0,0,0,0,1,14,0,3.503258335
1,22,6,0,1,0,0,2,3,0,3.351953074
1,18,3,0,0,0,0,2,6,0,3.614369446
1,24,4,0,0,27,0,3,5,0,3.886842188
1,24,1,1,0,0,0,1,20,0,3.349483982
1,39,5,0,0,7,1,5,3,0,4.211702142
1,18,2,0,0,1,0,1,14,1,3.794653474
1,10,4,1,0,6,0,3,18,0,3.873235826
1,18,5,0,2,6,1,2,3,0,3.239097918
1,29,3,0,0,5,0,2,14,2,4.444187892
1,41,3,0,0,2,0,3,21,0,4.08586992
1,24,2,1,0,0,0,2,6,0,3.855388542
1,13,3,0,0,0,0,2,2,0,3.085055103
1,26,4,0,0,0,0,3,12,0,3.488525295
1,27,2,0,0,18,0,2,16,0,3.541743521
1,18,3,0,1,2,0,2,3,0,3.197159723
1,20,3,1,0,0,0,2,3,0,3.546439345
1,17,3,0,0,10,0,3,3,0,3.057476076
1,18,3,1,1,0,0,3,3,0,3.530493057
1,11,2,0,1,29,0,1,7,0,3.095795255
1,21,3,0,0,1,0,2,15,1,3.689703732
1,9,2,1,0,1,0,1,6,0,3.169925001
1,23,7,1,1,0,0,3,3,0,3.522711956
1,32,3,3,1,3,0,3,6,0,3.780639062
1,19,3,0,0,19,0,2,3,0,3.431623566
1,13,10,1,2,1,0,6,2,0,3.89430422
1,29,5,0,0,32,0,4,3,0,3.771437029
1,25,5,0,0,31,0,4,3,0,3.68385619
1,12,4,0,0,9,1,3,2,2,3.022055209
1,33,5,1,0,1,0,5,8,0,3.942438726
1,25,2,1,0,0,0,1,21,0,3.859470571
1,14,7,1,1,2,0,2,3,0,2.896291529
1,9,3,1,1,5,1,1,5,3,2.725480557
1,14,2,0,0,20,0,1,10,2,3.664497779
1,11,3,0,2,4,0,1,7,0,3.027169118
1,17,2,0,0,0,0,1,13,0,3.263933429
1,11,1,0,0,0,0,1,8,0,3.095795255
1,13,2,0,0,3,0,1,9,0,3.39274741
1,18,1,0,1,20,0,1,14,0,3.46132014
1,13,1,0,0,0,0,1,8,0,3.546593564
1,26,3,1,7,2,0,2,3,0,3.87314068
1,12,1,0,0,17,0,1,8,0,2.918295834
1,21,3,1,0,0,0,2,3,0,3.653756708
1,29,5,1,0,0,0,4,8,0,3.745406426
1,15,1,0,0,26,0,1,11,0,3.506890596
1,13,2,1,0,0,0,1,10,0,3.026986833
1,15,2,0,0,0,0,2,3,0,3.323231429
1,11,4,0,1,0,0,2,4,0,2.913977073
1,14,6,1,1,2,0,2,3,0,3.182005815
1,16,2,1,0,0,0,1,6,0,3.625
1,6,2,1,0,0,0,1,3,0,2.584962501
1,20,1,2,0,21,0,1,16,0,3.78418372
1,21,3,0,0,0,0,1,17,0,3.725650756
1,113,15,1,0,0,0,14,3.5,0,4.149925672
1,14,4,0,0,0,0,1,10,0,2.842370993
1,134,6,6,0,62,1,6,6,0,4.741385345
1,16,3,0,2,0,0,1,12,0,3.452819531
1,23,3,0,0,0,0,2,3,0,3.762267391
1,22,2,0,1,2,0,2,3,0,3.538310596
1,9,3,0,0,0,0,2,2,0,2.947702779
1,19,2,0,0,0,0,2,6,0,3.431623566
1,17,3,0,0,17,0,3,3,0,3.572469459
1,17,3,0,0,17,0,3,3,0,3.572469459
1,33,3,1,0,0,0,2,3,0,4.043801695
1,11,6,1,1,2,0,1,7,0,3.095795255
1,6,4,0,7,32,0,1,3,0,2.584962501
1,15,2,2,0,0,0,1,3.333333333,0,3.640223929
1,20,2,0,1,0,0,1,16,0,3.446439345
1,30,3,0,0,2,1,2,19,0,4.006238929
1,18,2,0,0,0,0,2,12,0,3.281036113
1,25,2,1,0,0,0,2,5.5,0,3.86346519
1,16,2,3,0,0,0,1,12,0,3.155639062
1,24,3,0,0,0,0,2,4,0,3.720175521
1,48,5,0,0,2,0,5,23,0,4.161239658
1,25,3,0,0,6,1,2,10,3,4.40385619
1,42,3,4,0,14,1,3,7.5,0,4.234479554
1,13,6,1,1,2,0,2,3,0,3.026986833
1,33,3,1,0,0,0,3,11,0,3.657289952
1,13,7,1,7,8,0,2,3,0,2.87314068
1,15,5,0,0,1,0,2,3,0,3.189898095
1,16,1,0,0,21,0,1,12,0,3.202819531
1,36,3,0,0,39,1,3,15,15,4.440351043
1,11,2,0,1,27,0,1,7,0,3.095795255
1,16,2,1,0,16,0,1,13,0,3.327819531
1,13,4,0,0,0,0,2,6,0,3.238901257
1,24,3,2,6,18,1,1,10,3,3.65726823
1,11,1,3,0,3,0,1,7,0,3.095795255
1,29,3,2,0,0,0,2,5.666666667,0,3.857306857
1,18,3,1,0,2,0,2,3,0,3.683542362
1,6,1,0,0,2,0,1,3,0,2.584962501
1,21,2,1,0,1,0,2,5,0,3.499227542
1,17,2,0,0,0,0,2,3,0,3.292770194
1,18,2,0,0,0,0,1,14,0,3.725480557
1,11,5,0,0,1,0,1,7,0,3.027169118
1,84,10,1,0,0,0,10,6,0,4.219773681
1,28,5,1,3,0,0,3,3,0,3.79790269
1,14,4,0,0,0,0,1,10,0,2.985228136
1,15,4,0,1,2,0,3,3,0,2.955913095
1,27,2,2,0,1,0,2,4,1,3.986187965
1,14,1,1,0,4,0,1,10,0,3.378783493
1,36,3,0,0,1,0,2,26,0,3.974937501
1,33,1,2,0,0,0,1,29,0,3.628362121
1,20,1,1,0,1,0,1,16,0,3.446439345
1,15,4,1,0,0,0,1,5,0,3.506890596
1,15,6,1,7,8,0,2,3,0,2.606238929
1,56,4,4,0,22,0,4,6,0,4.001365138
1,26,4,0,0,0,0,2,3,0,3.825251737
1,16,2,0,0,0,0,2,8,0,3.280639062
1,14,4,5,0,6,0,1,11,0,3.664497779
1,13,2,0,0,2,0,1,9,0,3.39274741
1,14,2,1,0,5,1,2,4,4,3.235926351
1,13,2,0,1,2,0,1,9,0,3.39274741
1,17,5,0,0,0,0,3,3,0,3.175123135
1,26,1,0,0,0,0,1,22,0,3.74832866
1,52,4,2,0,0,0,4,4.333333333,0,4.257756064
1,10,1,0,0,0,0,1,6,0,3.121928095
1,13,2,0,0,4,0,1,9,0,3.39274741
1,23,5,1,0,0,0,4,2,0,3.827909782
1,12,2,1,1,7,0,1,8,0,3.188721876
1,14,2,1,0,22,0,1,10,0,3.324862958
1,15,3,2,0,0,0,2,3,0,3.456564762
1,28,3,1,0,0,0,2,3,0,3.9677201
1,11,1,0,0,19,0,1,7,0,3.095795255
1,33,9,0,0,1,0,6,2,0,3.596683892
1,14,2,1,0,0,0,2,3,0,2.985228136
1,14,2,0,0,0,0,1,11,0,3.093069208
1,11,1,0,0,1,0,1,7,0,3.459431619
1,21,4,1,0,0,0,1,8,0,3.308751351
1,15,2,0,0,5,0,2,4,0,2.973557262
1,18,5,0,0,0,0,2,4,0,3.530493057
1,30,5,0,0,0,0,4,6,0,3.498068512
1,17,3,0,0,17,0,3,3,0,3.572469459
1,120,11,0,0,32,1,11,6,0,4.714584369
